StationCode,RT_RO_Other,DATE,MONTH,YEAR,PERIOD,LAT,LON,SC_COUNTY,StationDepth_m,CHANNEL_WIDTH_m,CHANNEL_WIDTH_log,YSIb_DO_mgL,Logger_DO_min,Logger_DO_mean,Logger_DO_max,Logger_DO_range,YSIb_Salinity,Logger_Salin_min,Logger_Salin_mean,Logger_Salin_max,Logger_Salin_range,YSIb_Temp,Logger_Temp_min,Logger_Temp_mean,Logger_Temp_max,Logger_Temp_range,Logger_pH_min,Logger_pH_mean,Logger_pH_max,Logger_pH_range,TOC_Water_DHEC,Chl_a_DHEC,SecchiDepth_m,TOC_sediment,SiltClay,Entero_DHEC,LOG_ENTERO,FecalColiform_DHEC,LOG_FC,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_13,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_SIMPSON_INDEX,benth_SP_RICH,benth_ABUNDANCE,benth_SIMPSON_INDEX,BIBI,AMBI,MAMBI,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND
RO99318,OpenWater,8/4/99,8,1999,1999-2008,32.44989,-80.51007,Beaufort,4,1117,7.018401799,3.85,3.14,4.85,6.28,3.14,25.7,25.9,28.27,31.2,5.3,31.9,30.73,31.62,32.83,2.1,7.39,7.61,7.82,0.43,6,8.39,,0.085000001,4.555571079,,,4,0.602059991,19.86299896,0,0,0,,0,0.0182,0,4.14E-05,0,0.006060001,15,38,0.825484765,59,333,0.939808568,4.5,1.872,0.708913348,56,16.82,27,8.11
RT99030,TidalCreek,8/10/99,8,1999,1999-2008,32.38852,-80.63335,Beaufort,1.3,96,4.564348191,4.08,1.49,3.68,5.66,4.17,28.8,32.4,32.75,33,0.6,31.6,30.63,31.4,33.61,2.98,7.29,7.49,7.68,0.39,0,20.7,,0.584999979,26.10189247,,,13,1.113943352,70.25569916,35.85499954,0,0.043000001,,0.000932755,0.0397,0.001641794,0.001368883,0,0.01423951,13,206,0.685078707,42,239,0.878641498,4.5,2.25,0.588334982,27,11.3,14,5.86
RT99040,TidalCreek,8/10/99,8,1999,1999-2008,32.39288,-80.64129,Beaufort,4,212,5.356586275,4.06,0.29,4.39,7.44,7.15,32.5,33.1,33.43,33.9,0.8,30.6,30.05,31.29,33.86,3.81,7.28,7.48,7.64,0.36,0,16.21,,0.280000001,14.669981,,,8,0.903089987,39.21450043,0,0,0,,0,0.0226,0,0,0,0.007532254,13,238,0.245710049,23,488,0.674533015,2.5,3.404,0.352679563,3,0.61,218,44.67
RO99303,OpenWater,8/10/99,8,1999,1999-2008,32.31833,-80.66026,Beaufort,1,1593,7.37337431,3.88,3.34,4.92,6.15,2.81,32.2,30.7,32,33.3,2.6,31.5,30.23,30.92,32.18,1.95,7.58,7.82,8.05,0.47,0,10.81,,0.160000004,10.88659,,,11,1.041392685,28.3696003,0,0.864000022,0,,0,0.0179,0,0,0.0048,0.006181336,22,322,0.435959261,31,359,0.83444898,4,3.236,0.494288037,62,17.27,58,16.16
RO99310,OpenWater,8/10/99,8,1999,1999-2008,32.30051,-80.66381,Beaufort,5,2174,7.684324068,4.6,4.18,5.01,5.7,1.52,33.3,33.3,33.64,34.1,0.8,30.7,30.02,30.8,31.46,1.44,7.69,7.85,7.94,0.25,0,9.62,,0.140000001,9.281159401,,,2,0.301029996,25.11020088,0,0.930000007,0,,0,0.0164,0,0,0.005166667,0.005672781,15,28,0.81377551,38,178,0.925189615,4.5,2.481,,17,9.55,4,2.25
RT99039,TidalCreek,8/11/99,8,1999,1999-2008,32.58222,-80.18624,Charleston,3,41,3.713572067,4.03,0.01,3.63,6.05,6.04,34.3,33.1,34.25,35.5,2.4,30.8,30.45,31.09,32.58,2.13,7.31,7.65,8,0.69,0,9.34,,0.225000001,9.278960228,,,4,0.602059991,26.03219986,0,0,0,,0,0.0188,0,0,0,0.006261546,13,20,0.855,41,261,0.832351739,4,2.393,0.536243713,56,21.46,98,37.55
RO99316,OpenWater,8/17/99,8,1999,1999-2008,33.33951,-79.2748,Georgetown,3.5,1340,7.200424893,3.54,1.45,3.65,4.72,3.27,16,14.4,17.13,20.7,6.3,30.6,30.48,30.69,30.87,0.39,7.11,7.42,7.59,0.48,6.400000095,11.18,,5.53000021,95.42128754,,,17,1.230448921,227.4597015,27.60000038,0,0,,0,0.1194,0.000606277,0.00617521,0,0.04013434,9,45,0.659753086,4,150,0.579111111,1.5,3.635,0.240846563,0,0,137,91.33
RT99009,TidalCreek,8/17/99,8,1999,1999-2008,32.55787,-80.36176,Charleston,2,118,4.770684624,2.66,0.41,2.53,3.99,3.58,31.9,32.45,32.61,32.76,0.31,31.4,30.97,31.66,32.16,1.19,7.05,7.28,7.43,0.38,4.599999905,13.19,,3.799999952,95.03729248,,,130,2.113943352,180.0939484,0,5.486000061,0,,0,0.0842,0,0,0.03047778,0.02934085,16,125,0.73216,3,12,0.569444444,1,3.625,0.203207673,0,0,0,0
RO99321,OpenWater,8/17/99,8,1999,1999-2008,33.28835,-79.27434,Georgetown,2,2201,7.696667082,4.39,2.87,4.27,5.31,2.44,16,13.6,19.35,25.1,11.5,30.3,30.29,30.63,31.21,0.92,7.23,7.53,7.68,0.45,6.900000095,9.16,,2.814999938,63.85806656,,,17,1.230448921,129.552597,0,0,0,,0,0.0715,0,0.000984551,0,0.02382739,12,34,0.673010381,9,35,0.809795918,2.5,3.656,0.339919638,2,5.71,14,40
RO99328,OpenWater,8/17/99,8,1999,1999-2008,32.51798,-80.36643,Charleston,7,1324,7.188412736,4.34,1.92,4.57,5.15,3.23,33,31.1,32.91,34.8,3.7,30.9,30.15,30.66,31.38,1.23,7.65,7.84,8.01,0.36,2.400000095,11.36,,0.900000006,22.80239868,,,0,0,56.18650055,0,0,0,,0,0.0321,0,0.000575996,0,0.01071659,18,99,0.751964085,44,158,0.952353395,4.5,1.946,,23,14.56,12,7.59
RT99038,TidalCreek,8/18/99,8,1999,1999-2008,32.34355,-80.54637,Beaufort,2,222,5.402677382,4.02,2.77,4.77,5.72,2.95,35.6,35.5,35.95,36.6,1.1,30.1,29.89,30.83,31.72,1.83,7.64,7.85,8.01,0.37,0,7.48,,1.25999999,41.7400589,,,0,0,97.63999939,19.25,0,0.075099997,,0.001629067,0.0456,0.000673077,0.000811082,0,0.01573314,20,74,0.817019722,17,146,0.455077289,3,1.572,0.403903441,4,2.74,1,0.68
RT99028,TidalCreek,8/18/99,8,1999,1999-2008,32.34623,-80.55658,Beaufort,3,85,4.442651256,3.29,0.86,4.49,6.22,5.36,35.8,35.7,35.89,36.1,0.4,30,29.8,30.9,32.22,2.42,7.5,7.72,7.86,0.36,2.400000095,10.63,,1.090000033,33.67876434,,,0,0,87.88999939,9.430000305,0,0,,0,0.0401,0.000200534,0.000210529,0,0.0134807,12,37,0.658875091,36,218,0.8805192,4,2.621,0.53899537,38,17.43,37,16.97
RT99012,TidalCreek,8/18/99,8,1999,1999-2008,32.29527,-80.62009,Beaufort,4,73,4.290459441,3.12,1.65,3.88,5.36,3.71,36.1,34.6,35.28,36,1.4,29.9,29.39,31.17,32.86,3.47,7.31,7.5,7.68,0.37,2.900000095,11.63,,0.514999986,15.51876259,,,0,0,37.39229965,0,0.784999967,0,,0,0.0234,0,0,0.004361111,0.007974792,9,137,0.165485641,19,194,0.428331163,2,3.814,0.283192127,3,1.55,144,74.23
RT99006,TidalCreek,8/23/99,8,1999,1999-2008,33.85259,-78.58401,Horry,1,74,4.304065093,3.16,2.62,4.85,6.94,4.32,31.4,29,32.34,35.5,6.5,28.6,27.76,28.91,30.1,2.34,7.46,7.78,8.08,0.62,2.400000095,19.6,,0.185000002,8.343677521,,,70,1.84509804,32.18389893,8.630000114,0.850000024,0,,0,0.0216,0.000192383,0.000192668,0.004722222,0.007496486,13,72,0.609953704,17,293,0.383350535,2.5,4.197,0.241453041,4,1.37,231,78.84
RO99306,OpenWater,8/23/99,8,1999,1999-2008,33.53927,-79.02963,Georgetown,2,199,5.293304825,4.47,3.81,5.34,6.23,2.42,36.3,36.3,36.41,36.6,0.3,28.9,28.45,29.14,30,1.55,7.76,8.02,8.11,0.35,,8.17,,0.050000001,2.553205967,,,14,1.146128036,14.12230015,0,0.808999956,0,,0,0.0147,0,0,0.004494444,0.005078964,5,16,0.5625,71,408,0.9591,4,1.908,,12,2.94,0,0
RT99007,TidalCreek,8/24/99,8,1999,1999-2008,32.7162,-79.93245,Charleston,3.3,467,6.146329258,3.16,2.18,3.95,6.11,3.93,35.2,33.6,34.44,35.6,2,29.3,29.03,29.79,30.9,1.87,7.42,7.57,7.74,0.32,3.200000048,12.64,,0.685000002,26.89143181,,,50,1.698970004,79.23670197,57.38999939,0.338499993,0.052699998,,0.001143167,0.047,0.002032766,0.001972674,0.001880556,0.01698377,14,109,0.511404764,27,198,0.744872972,3,2.737,0.429913693,0,0,32,16.16
