StationCode,RT_RO_Other,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,Chl_a_DHEC,SiltClay,Entero_DHEC,LOG_entero,FecalColiform_DHEC,LOG_FC,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUND,benth_SP_RICH,benth_ABUNDANCE,BIBI,MAMBI,HUC14_IMPERV_PRCT,HUC14_DEV_cut,HUC14_DEV_quant
RO026008,OpenWater,5.05,32.21,30.93,7.75,11.7,38.84,,,2,0.301029996,110.42,4.26,0,0,,0,0.07,0.000744776,0,0.02,24,375,27,670,3.5,0.37,0.44,UNDEV,UNDEV
RO026009,OpenWater,5.33,26.91,28.42,7.96,9.81,5.5,,,2,0.301029996,55.81,0,0,0,,0,0.03,0,0,0.01,8,123,67,774,5,,0.34,UNDEV,UNDEV
RO026010,OpenWater,4.02,21.68,29.9,7.78,30.8,85.29,,,8,0.903089987,748.01,57.56,0.06,0.34,,0.007548807,0.28,0.006107564,0.000367778,0.09,20,404,8,16,1.5,0.35,1.9,UNDEV,DEV
RO026011,OpenWater,4.47,29.72,29.93,7.58,11.3,14.34,,,0,0,32.66,3.41,0,0,,0,0.02,0.000435569,0,0.007279009,13,91,17,1590,4,,0.22,UNDEV,UNDEV
RO026012,OpenWater,4.88,17.51,29.93,7.53,22.2,4.34,,,70,1.84509804,8.26,7.42,0,0,,0,0.0084,0.00079032,0,0.002966279,14,304,14,58,4,0.37,0.12,UNDEV,UNDEV
RO026013,OpenWater,5.18,32.82,26.36,7.71,7.75,37.32,,,13,1.113943352,71.31,788.28,0,0.13,,0.002863341,0.04,0.02,0,0.03,0,0,55,283,4,,0.47,UNDEV,UNDEV
RO026014,OpenWater,4.8,24.75,28.41,7.51,11.6,6.63,,,0,0,55.9,29.94,0.1,0,,0,0.02,0.000668535,0.000589444,0.008351637,17,241,44,227,4,,9.46,UNDEV,DEV
RO026016,OpenWater,6.03,28.2,30,7.98,5.75,9.41,,,4,0.602059991,32.86,793.15,0,0,,0,0.01,0.02,0,0.02,1,1,88,635,5,0.86,11.57,UNDEV,DEV
RO026017,OpenWater,5.96,35.05,29.71,7.82,5.96,4.87,,,2,0.301029996,9.64,20.73,0,0,,0,0.01,0.000463029,0,0.004463382,0,0,72,1189,5,,1.73,UNDEV,DEV
RO026018,OpenWater,,35.1,30.09,7.9,5.99,2.25,,,0,0,5.15,0,0,0,,0,0.0092,0,0,0.003079499,3,5,23,55,4,,4.81,UNDEV,DEV
RO026019,OpenWater,3.16,34.01,29.93,7.15,,1.45,,,2,0.301029996,1.78,0,0,0,,0,0.0037,0,0,0.001226265,12,89,7,86,2.5,,0.13,UNDEV,UNDEV
RO026020,OpenWater,5.88,30.9,29.24,7.88,10.3,13.29,,,2,0.301029996,51.89,53.33,0,0,,0,0.02,0.002231202,0,0.009693189,11,20,56,379,4,,7.27,UNDEV,DEV
RO026021,OpenWater,4.27,34.85,29.6,7.55,6.5,78.96,,,0,0,154.97,22.43,0,0,,0,0.08,0.001101536,0,0.02,17,561,11,55,3,0.28,0.44,UNDEV,UNDEV
RO026022,OpenWater,5.86,33.46,29.5,7.92,2.99,7.31,,,0,0,4.84,0,0,0,,0,0.0063,0,0,0.002085042,14,36,19,45,4,,5.45,UNDEV,DEV
RO026023,OpenWater,4.28,35.17,30.07,7.66,6.58,12.18,,,0,0,15.18,0,0,0,,0,0.01,0,0,0.004080828,13,87,57,463,4.5,0.74,4.67,UNDEV,DEV
RO026024,OpenWater,6.04,31.41,29.5,7.93,13.1,4.94,,,20,1.301029996,5.4,11.73,0,0.06,,0.001511931,0.0048,0.0002621,0,0.001934145,11,27,37,483,3.5,0.39,11.67,UNDEV,DEV
RO026025,OpenWater,5.51,32.67,27.06,7.6,7.99,7.29,,,4,0.602059991,22.71,7.86,0,0.14,,0.003058569,0.01,0.00030184,0,0.005393756,22,130,59,574,4.5,0.73,0.24,UNDEV,UNDEV
RO026026,OpenWater,5.85,32.01,29.97,8.04,6.4,5.16,,,0,0,34.69,11.25,0,0,,0,0.01,0.000251161,0,0.005922235,2,3,44,769,4.5,,20.27,DEV,DEV
RO026027,OpenWater,5.6,33.71,27.01,7.73,11.9,8.15,,,2,0.301029996,25.03,0,0,0,,0,0.01,0.000136632,0,0.005222592,21,595,51,1168,4,0.52,0.24,UNDEV,UNDEV
RO026028,OpenWater,4.98,20.99,28.01,7.61,4.34,11.57,,,70,1.84509804,78.03,595.33,2.62,0.9,,0.01,0.04,0.02,0.01,0.03,5,8,18,416,2.5,0.33,33.21,DEV,DEV
RO026029,OpenWater,4.86,20.24,26.87,7.22,9.97,85.41,,,30,1.477121255,211.3,31.79,0.19,0.38,,0.008286335,0.11,0.002248169,0.0011,0.04,16,310,7,45,2,0.32,0.06,UNDEV,UNDEV
RO026030,OpenWater,5.89,26.4,30.88,7.94,29.8,94.52,,,27,1.431363764,532.21,1126.5,0.13,0,,0,0.28,0.03,0.000738889,0.12,14,52,20,135,3.5,0.35,30.51,DEV,DEV
RO026151,OpenWater,4.43,35.24,29.93,7.49,9.2,1.94,,,2,0.301029996,5.37,0,0,0,,0,0.0097,0,0,0.003244392,13,44,18,125,3.5,0.53,1.73,UNDEV,DEV
RO036031,OpenWater,4.59,10.69,30.15,7.1,5.23,1.78,,,13,1.113943352,12.28,0,0,0,0,0,0.01,0,0,0.004219085,10,57,11,78,2.5,,1.73,UNDEV,DEV
RO036032,OpenWater,6.17,29.51,29.35,7.83,5.76,13.25,,,2,0.301029996,59.11,0,1.83,0,0,0,0.03,0.000274156,0.01,0.01,20,254,83,2094,5,,4.81,UNDEV,DEV
RO036033,OpenWater,5.1,29.69,29.72,7.6,8.51,3.61,,,2,0.301029996,35.39,0,1.36,0,0,0,0.01,0,0.007568518,0.005277659,14,57,64,1390,5,,5.45,UNDEV,DEV
RO036034,OpenWater,,29.93,28.9,7.82,4.91,4.04,,,0,0,13.58,0,0.86,0,0,0,0.01,0,0.004816667,0.003786017,2,2,34,283,4.5,0.64,4.81,UNDEV,DEV
RO036035,OpenWater,4.48,19.51,30.73,7.33,7.34,17.98,,,50,1.698970004,76.38,10.6,3.63,0,0,0,0.04,0.000645205,0.02,0.01,14,264,24,140,3.5,0.52,1.73,UNDEV,DEV
RO036036,OpenWater,6.09,30.66,29.39,7.86,8.17,10.54,,,0,0,27.31,0,2.12,0,0,0,0.01,0,0.01,0.005886056,7,38,26,130,4,0.58,6.24,UNDEV,DEV
RO036037,OpenWater,4.17,14.57,28.65,7.2,5.23,6.78,,,4,0.602059991,144.87,0,3.2,0.53,0,0.01,0.05,0.000160297,0.01,0.02,6,41,26,252,5,0.51,0.13,UNDEV,UNDEV
RO036038,OpenWater,5.98,28.36,28.25,7.93,6.61,4.68,,,0,0,44.89,0,0.78,0,0,0,0.02,0,0.004338889,0.007524205,5,6,54,1077,4.5,,0.34,UNDEV,UNDEV
RO036039,OpenWater,4.88,18.72,28.55,7.35,5.12,9.57,,,13,1.113943352,60.33,18.13,1.54,0,0,0,0.02,0.001085908,0.008611111,0.01,14,106,25,133,3.5,0.52,0.86,UNDEV,UNDEV
RO036040,OpenWater,5.47,0.54,28.04,6.7,3.41,37.09,,,40,1.602059991,101.77,178.41,3.56,0,0,0,0.05,0.009920298,0.01,0.02,6,24,13,344,4.5,0.32,5.38,UNDEV,DEV
RO036041,OpenWater,3.9,15.19,29.33,7.31,6.94,3.55,,,130,2.113943352,19.67,0,1.25,0,0,0,0.01,0,0.006949999,0.003849171,19,204,8,105,2.5,0.42,0.96,UNDEV,UNDEV
RO036042,OpenWater,4.18,17.8,27.67,7.52,2.33,69.69,,,60,1.77815125,184.86,1836.8,8.14,0,0.56,0,0.09,0.05,0.04,0.07,19,280,8,42,1.5,0.23,5.38,UNDEV,DEV
RO036043,OpenWater,2.48,5.71,27.46,6.69,8.8,12.27,,,8,0.903089987,46.05,0,3.27,0,0,0,0.02,0.001060457,0.01,0.008775108,2,21,7,65,1.5,0.26,0.06,UNDEV,UNDEV
RO036044,OpenWater,5.86,27.67,26.96,7.7,7.51,35.73,,,17,1.230448921,127.04,264.61,4.1,1.71,0,0.03,0.06,0.009430925,0.02,0.02,19,56,53,638,5,0.66,20.27,DEV,DEV
RO036046,OpenWater,4.76,16.46,29.91,7.16,9.65,24.92,,,70,1.84509804,61.17,201.6,1.56,0,0,0,0.03,0.006795856,0.008716667,0.01,16,168,4,18,1.5,0.16,6.42,UNDEV,DEV
RO036047,OpenWater,4.71,23.58,28.38,7.54,14.6,1.97,,,0,0,20.55,0,0.8,0.74,0,0.01,0.01,9.98E-05,0.004472222,0.005975778,0,0,63,569,4.5,,0.07,UNDEV,UNDEV
RO036048,OpenWater,5.03,28.42,27.05,7.68,6.82,44.38,,,30,1.477121255,121.19,1151.69,4.18,0.54,0,0.01,0.06,0.03,0.02,0.04,15,75,23,140,3.5,0.47,20.27,DEV,DEV
RO036049,OpenWater,3.8,0.07,27.41,6.43,2.08,2.28,,,30,1.477121255,6.22,0,0.83,0,0,0,0.0026,0,0.004638889,0.001069227,2,5,3,219,3,0.37,0.13,UNDEV,UNDEV
RO036050,OpenWater,5.15,33.44,26.65,7.75,5.54,13.41,,,4,0.602059991,66.38,6.46,0.96,0,0,0,0.03,0.000376407,0.005383333,0.01,23,132,50,637,5,,19.55,DEV,DEV
RO036052,OpenWater,3.77,15.42,25.97,7.08,2.73,36.2,,,21,1.322219295,131.81,17.81,3.07,0,0.3,0,0.06,0.005942133,0.01,0.02,15,504,5,6,2,0.25,0.12,UNDEV,UNDEV
RO036053,OpenWater,5.37,24.2,28.94,7.68,10.2,40.76,,,2,0.301029996,114.19,12.1,6.63,0,0,0,0.05,0.0013172,0.03,0.02,9,90,11,51,2,0.23,0.34,UNDEV,UNDEV
RO036054,OpenWater,4.89,0.05,27.67,6.26,2.05,29.73,,,30,1.477121255,109.78,22.1,7.6,0,0,0,0.05,0.005092427,0.04,0.01,5,11,3,62,1.5,0.26,0.12,UNDEV,UNDEV
RO036055,OpenWater,4.3,17.25,28.59,7.34,7.86,1.54,,,7,0.84509804,14.39,0,0.85,0,0,0,0.01,0.000116985,0.00475,0.003862135,8,14,5,36,2,0.4,0.13,UNDEV,UNDEV
RO036056,OpenWater,5.56,28.21,29.57,7.75,9.73,18.07,,,30,1.477121255,60.66,5.03,3.11,0,0,0,0.02,0.000302733,0.01,0.01,14,75,64,556,4.5,0.7,9.6,UNDEV,DEV
RO036057,OpenWater,5.92,27.42,29.89,7.65,4.42,3.23,,,80,1.903089987,13.17,0,0.76,0,0,0,0.01,0,0.00425,0.005810794,0,0,19,87,3.5,,4.81,UNDEV,DEV
RO036058,OpenWater,6.51,17.15,26.2,7.63,14.1,1.42,,,50,1.698970004,57.27,0,1.57,0,0,0,0.02,5.97E-05,0.008775,0.007803692,16,79,7,10,3,0.33,0.45,UNDEV,UNDEV
RO036059,OpenWater,4.81,19.02,28.62,7.47,9.97,0.69,,,23,1.361727836,49.13,0,1.29,0,0,0,0.02,0,0.007172222,0.007151867,3,9,42,200,4,0.65,1.04,UNDEV,UNDEV
RO036060,OpenWater,5.97,37.65,27.91,7.86,5.32,3.45,,,19,1.278753601,14.67,0,1.04,0,0,0,0.0077,0,0.005783333,0.00279336,3,6,22,219,4,,15.45,UNDEV,DEV
RO036152,OpenWater,6.19,29.65,28.56,7.82,9.2,7.57,,,2,0.301029996,192.17,0,2.41,0,0,0,0.06,0,0.01,0.02,9,52,62,544,5,0.73,4.81,UNDEV,DEV
RO036153,OpenWater,4.14,1.87,29.65,6.68,5.79,2.48,,,22,1.342422681,20.01,0,1.26,0.82,0.11,0.01,0.01,0.000455439,0.007025,0.006056197,7,24,7,41,3,0.35,0.24,UNDEV,UNDEV
RO046061,OpenWater,4.54,18.38,28.97,7.83,2.52,58.22,,,30,1.477121255,144.92,76.46,1.53,0,0,0,0.08,0.002362516,0.008538889,0.02,4,16,14,163,2.5,0.37,1.14,UNDEV,UNDEV
RO046062,OpenWater,5.11,11.31,26.61,7.21,16.4,78.2,,,40,1.602059991,204.81,136.3,0,0,0,0,0.11,0.01,0,0.04,0,0,7,70,1.5,0.25,8.71,UNDEV,DEV
RO046063,OpenWater,5.67,32.54,29.03,7.98,5.17,1.34,,,2,0.301029996,15.37,3.79,0,0,0,0,0.01,8.48E-05,0,0.00420778,15,56,10,127,2.5,0.45,4.81,UNDEV,DEV
RO046064,OpenWater,6.26,17.99,29.27,7.63,16.5,59.87,,,130,2.113943352,155.7,18.8,1.97,0,0,0,0.07,0.01,0.01,0.02,14,826,5,47,3,0.28,1.9,UNDEV,DEV
RO046065,OpenWater,5.84,34.38,30.36,7.83,8.21,2.04,,,0,0,36.88,3.44,1.53,0,0,0,0.01,7.69E-05,0.008555556,0.006514125,11,46,23,52,4,,1.68,UNDEV,UNDEV
