"","RESPONSE","RESPONSE_CATEGORY","HABITAT","SPATIAL_UNIT","SCENARIO_NUMBER","SCENARIO_NAME","PROJECTION","SCENARIO_PROJECTION","PREDICTED","PREDICTED_LOWER","PREDICTED_UPPER","BASELINE","BASELINE_LOWER","BASELINE_UPPER","PRCT_CHANGE"
"21","ERMQ metals","sediment quality","AllHabitats","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.0354544758746837,0.0341306164516474,0.03677833529772,0.0335213429184738,0.0327042236885797,0.034338462148368,5.76687205196805
"22","ERMQ metals","sediment quality","OpenWater","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.0300847129457055,0.0287826646268891,0.0313867612645219,0.0281753953771829,0.0273356049864834,0.0290151857678825,6.7765422382282
"23","ERMQ metals","sediment quality","TidalCreek","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.0408908611725077,0.039513307593914,0.0422684147511014,0.0389336173523366,0.038089159924052,0.0397780747806211,5.02713067336818
"24","ERMQ metals","sediment quality","AllHabitats","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.0354544758746837,0.0341306164516474,0.03677833529772,0.0335213429184738,0.0327042236885797,0.034338462148368,5.76687205196805
"25","ERMQ metals","sediment quality","OpenWater","HUC 10","8","Pop","High","Pop (High)",0.031015680158486,0.0293984850131463,0.0326328753038256,0.0281753953771829,0.0273356049864834,0.0290151857678825,10.0807273270889
"26","ERMQ metals","sediment quality","TidalCreek","HUC 10","8","Pop","High","Pop (High)",0.0418551528174482,0.0401418553919037,0.0435684502429926,0.0389336173523366,0.038089159924052,0.0397780747806211,7.5038890906864
"27","ERMQ metals","sediment quality","AllHabitats","HUC 10","8","Pop","High","Pop (High)",0.0364020025771811,0.0347496667433591,0.0380543384110031,0.0335213429184738,0.0327042236885797,0.034338462148368,8.59350911362124
"28","ERMQ metals","sediment quality","OpenWater","HUC 10","9","Temp","High","Temp (High)",0.0283752864197262,0.0275390113609608,0.0292115614784916,0.0281753953771829,0.0273356049864834,0.0290151857678825,0.709452484578735
"29","ERMQ metals","sediment quality","TidalCreek","HUC 10","9","Temp","High","Temp (High)",0.0390947911229123,0.0382552466852656,0.0399343355605591,0.0389336173523366,0.038089159924052,0.0397780747806211,0.413970705873999
"30","ERMQ metals","sediment quality","AllHabitats","HUC 10","9","Temp","High","Temp (High)",0.0337019946754402,0.0328893465852769,0.0345146427656034,0.0335213429184738,0.0327042236885797,0.034338462148368,0.538915631768366
"31","ERMQ metals","sediment quality","OpenWater","HUC 10","10","Precip","High","Precip (High)",0.027991856493268,0.0271387823939903,0.0288449305925456,0.0281753953771829,0.0273356049864834,0.0290151857678825,-0.651415468915036
"32","ERMQ metals","sediment quality","TidalCreek","HUC 10","10","Precip","High","Precip (High)",0.0387113611964541,0.0378481130089129,0.0395746093839953,0.0389336173523366,0.038089159924052,0.0397780747806211,-0.570859249658598
"33","ERMQ metals","sediment quality","AllHabitats","HUC 10","10","Precip","High","Precip (High)",0.0333185647489819,0.0324850595079533,0.0341520699900105,0.0335213429184738,0.0327042236885797,0.034338462148368,-0.604922571225993
"34","ERMQ metals","sediment quality","OpenWater","HUC 10","11","Temp + Precip","High","Temp + Precip (High)",0.027991856493268,0.0271387823939903,0.0288449305925456,0.0281753953771829,0.0273356049864834,0.0290151857678825,-0.651415468915036
"35","ERMQ metals","sediment quality","TidalCreek","HUC 10","11","Temp + Precip","High","Temp + Precip (High)",0.0387113611964541,0.0378481130089129,0.0395746093839953,0.0389336173523366,0.038089159924052,0.0397780747806211,-0.570859249658598
"36","ERMQ metals","sediment quality","AllHabitats","HUC 10","11","Temp + Precip","High","Temp + Precip (High)",0.0333185647489819,0.0324850595079533,0.0341520699900105,0.0335213429184738,0.0327042236885797,0.034338462148368,-0.604922571225993
"37","ERMQ metals","sediment quality","OpenWater","HUC 10","12","Pop + Temp","High","Pop + Temp (High)",0.031015680158486,0.0293984850131463,0.0326328753038256,0.0281753953771829,0.0273356049864834,0.0290151857678825,10.0807273270889
"38","ERMQ metals","sediment quality","TidalCreek","HUC 10","12","Pop + Temp","High","Pop + Temp (High)",0.0418551528174482,0.0401418553919037,0.0435684502429926,0.0389336173523366,0.038089159924052,0.0397780747806211,7.5038890906864
"39","ERMQ metals","sediment quality","AllHabitats","HUC 10","12","Pop + Temp","High","Pop + Temp (High)",0.0364020025771811,0.0347496667433591,0.0380543384110031,0.0335213429184738,0.0327042236885797,0.034338462148368,8.59350911362124
"40","ERMQ metals","sediment quality","OpenWater","HUC 10","13","Pop + Precip","High","Pop + Precip (High)",0.0306322502320277,0.0290069620080088,0.0322575384560466,0.0281753953771829,0.0273356049864834,0.0290151857678825,8.71985937359517
"41","ERMQ metals","sediment quality","TidalCreek","HUC 10","13","Pop + Precip","High","Pop + Precip (High)",0.0414717228909899,0.0397473343802564,0.0431961114017234,0.0389336173523366,0.038089159924052,0.0397780747806211,6.5190591351538
"42","ERMQ metals","sediment quality","AllHabitats","HUC 10","13","Pop + Precip","High","Pop + Precip (High)",0.0360185726507229,0.0343565372304935,0.0376806080709522,0.0335213429184738,0.0327042236885797,0.034338462148368,7.44967091062688
"43","ERMQ metals","sediment quality","OpenWater","HUC 10","14","Pop + Temp + Precip","High","Pop + Temp + Precip (High)",0.0306322502320277,0.0290069620080088,0.0322575384560466,0.0281753953771829,0.0273356049864834,0.0290151857678825,8.71985937359517
"44","ERMQ metals","sediment quality","TidalCreek","HUC 10","14","Pop + Temp + Precip","High","Pop + Temp + Precip (High)",0.0414717228909899,0.0397473343802564,0.0431961114017234,0.0389336173523366,0.038089159924052,0.0397780747806211,6.5190591351538
"45","ERMQ metals","sediment quality","AllHabitats","HUC 10","14","Pop + Temp + Precip","High","Pop + Temp + Precip (High)",0.0360185726507229,0.0343565372304935,0.0376806080709522,0.0335213429184738,0.0327042236885797,0.034338462148368,7.44967091062688
"46","ERMQ PAH","sediment quality","OpenWater","HUC 10","0","Baseline","NA","Baseline (NA)",0.00172786883989112,0.00155393197850777,0.00190180570127447,0.00172786883989112,0.00155393197850777,0.00190180570127447,0
"47","ERMQ PAH","sediment quality","TidalCreek","HUC 10","0","Baseline","NA","Baseline (NA)",0.00203267578077401,0.00186017331968664,0.00220517824186138,0.00203267578077401,0.00186017331968664,0.00220517824186138,0
"48","ERMQ PAH","sediment quality","AllHabitats","HUC 10","0","Baseline","NA","Baseline (NA)",0.00187937597491553,0.00173921313465709,0.00201953881517396,0.00187937597491553,0.00173921313465709,0.00201953881517396,0
"49","ERMQ PAH","sediment quality","OpenWater","HUC 10","1","Pop","Low","Pop (Low)",0.00246181406621471,0.00222943858578343,0.002694189546646,0.00172786883989112,0.00155393197850777,0.00190180570127447,42.47690619676
"50","ERMQ PAH","sediment quality","TidalCreek","HUC 10","1","Pop","Low","Pop (Low)",0.00272430791800401,0.00249681182095719,0.00295180401505083,0.00203267578077401,0.00186017331968664,0.00220517824186138,34.0256987253836
"51","ERMQ PAH","sediment quality","AllHabitats","HUC 10","1","Pop","Low","Pop (Low)",0.00259245591257951,0.00238622258314032,0.00279868924201871,0.00187937597491553,0.00173921313465709,0.00201953881517396,37.942378064934
"52","ERMQ PAH","sediment quality","OpenWater","HUC 10","2","Temp","Low","Temp (Low)",0.00137932888409759,0.0011510625901369,0.00160759517805829,0.00172786883989112,0.00155393197850777,0.00190180570127447,-20.1716674175043
"53","ERMQ PAH","sediment quality","TidalCreek","HUC 10","2","Temp","Low","Temp (Low)",0.001675680927025,0.00144900268995012,0.00190235916409987,0.00203267578077401,0.00186017331968664,0.00220517824186138,-17.5628035285132
"54","ERMQ PAH","sediment quality","AllHabitats","HUC 10","2","Temp","Low","Temp (Low)",0.00152673920752894,0.00132331372986921,0.00173016468518868,0.00187937597491553,0.00173921313465709,0.00201953881517396,-18.7635029974476
"55","ERMQ PAH","sediment quality","OpenWater","HUC 10","3","Precip","Low","Precip (Low)",0.0016176240918366,0.00145199778789167,0.00178325039578152,0.00172786883989112,0.00155393197850777,0.00190180570127447,-6.3803886909303
"56","ERMQ PAH","sediment quality","TidalCreek","HUC 10","3","Precip","Low","Precip (Low)",0.00192067137189293,0.00175617978538171,0.00208516295840415,0.00203267578077401,0.00186017331968664,0.00220517824186138,-5.51019547438241
"57","ERMQ PAH","sediment quality","AllHabitats","HUC 10","3","Precip","Low","Precip (Low)",0.00176836139500032,0.0016383968989854,0.00189832589101525,0.00187937597491553,0.00173921313465709,0.00201953881517396,-5.90699154383904
"58","ERMQ PAH","sediment quality","OpenWater","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.00137775416785422,0.00115480951358973,0.0016006988221187,0.00172786883989112,0.00155393197850777,0.00190180570127447,-20.262803747243
"59","ERMQ PAH","sediment quality","TidalCreek","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.0016713216057296,0.00144858920076026,0.00189405401069894,0.00203267578077401,0.00186017331968664,0.00220517824186138,-17.7772657332893
"60","ERMQ PAH","sediment quality","AllHabitats","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.00152378077262223,0.00132558116346996,0.0017219803817745,0.00187937597491553,0.00173921313465709,0.00201953881517396,-18.9209188070673
"61","ERMQ PAH","sediment quality","OpenWater","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.00228504912824212,0.00200648468354045,0.00256361357294378,0.00172786883989112,0.00155393197850777,0.00190180570127447,32.2466772643524
"62","ERMQ PAH","sediment quality","TidalCreek","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.00253806313785046,0.00226403228865846,0.00281209398704246,0.00203267578077401,0.00186017331968664,0.00220517824186138,24.8631563310117
"63","ERMQ PAH","sediment quality","AllHabitats","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.0024109802762112,0.0021541000942523,0.00266786045817011,0.00187937597491553,0.00173921313465709,0.00201953881517396,28.2862135299762
"64","ERMQ PAH","sediment quality","OpenWater","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.00252334433598112,0.0022894335257784,0.00275725514618384,0.00172786883989112,0.00155393197850777,0.00190180570127447,46.0379559909264
"65","ERMQ PAH","sediment quality","TidalCreek","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.0027830535827184,0.00255391974233254,0.00301218742310426,0.00203267578077401,0.00186017331968664,0.00220517824186138,36.9157643851425
"66","ERMQ PAH","sediment quality","AllHabitats","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.00265260246368258,0.0024446140214132,0.00286059090595197,0.00187937597491553,0.00173921313465709,0.00201953881517396,41.1427249835848
"67","ERMQ PAH","sediment quality","OpenWater","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.00228347441199874,0.00200954290341829,0.00255740592057918,0.00172786883989112,0.00155393197850777,0.00190180570127447,32.1555409346136
"68","ERMQ PAH","sediment quality","TidalCreek","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.00253370381655507,0.00226323055081174,0.00280417708229839,0.00203267578077401,0.00186017331968664,0.00220517824186138,24.6486941262356
"69","ERMQ PAH","sediment quality","AllHabitats","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.00240802184130449,0.00215557922632633,0.00266046445628265,0.00187937597491553,0.00173921313465709,0.00201953881517396,28.1287977203565
"70","ERMQ PAH","sediment quality","OpenWater","HUC 10","8","Pop","High","Pop (High)",0.0028101680062703,0.00253192936704616,0.00308840664549444,0.00172786883989112,0.00155393197850777,0.00190180570127447,62.6378079974741
"71","ERMQ PAH","sediment quality","TidalCreek","HUC 10","8","Pop","High","Pop (High)",0.00305599338370611,0.00278532532009702,0.0033266614473152,0.00203267578077401,0.00186017331968664,0.00220517824186138,50.3433755944316
"72","ERMQ PAH","sediment quality","AllHabitats","HUC 10","8","Pop","High","Pop (High)",0.00293254863130346,0.00267760835996157,0.00318748890264535,0.00187937597491553,0.00173921313465709,0.00201953881517396,56.0384228831739
"73","ERMQ PAH","sediment quality","OpenWater","HUC 10","9","Temp","High","Temp (High)",0.00133281179515744,0.00107401358689389,0.00159161000342098,0.00172786883989112,0.00155393197850777,0.00190180570127447,-22.8638329260326
"74","ERMQ PAH","sediment quality","TidalCreek","HUC 10","9","Temp","High","Temp (High)",0.00162666914277406,0.00136965244440734,0.00188368584114078,0.00203267578077401,0.00186017331968664,0.00220517824186138,-19.9739988954532
"75","ERMQ PAH","sediment quality","AllHabitats","HUC 10","9","Temp","High","Temp (High)",0.00147898246111623,0.00124202211975042,0.00171594280248203,0.00187937597491553,0.00173921313465709,0.00201953881517396,-21.3045989276997
"76","ERMQ PAH","sediment quality","OpenWater","HUC 10","10","Precip","High","Precip (High)",0.00167553493396969,0.00150507580396919,0.00184599406397018,0.00172786883989112,0.00155393197850777,0.00190180570127447,-3.02881241406789
"77","ERMQ PAH","sediment quality","TidalCreek","HUC 10","10","Precip","High","Precip (High)",0.00197596140927118,0.00180642287309474,0.00214549994544761,0.00203267578077401,0.00186017331968664,0.00220517824186138,-2.79013367696227
"78","ERMQ PAH","sediment quality","AllHabitats","HUC 10","10","Precip","High","Precip (High)",0.00182496991368557,0.00168880604512599,0.00196113378224515,0.00187937597491553,0.00173921313465709,0.00201953881517396,-2.89490032628536
"79","ERMQ PAH","sediment quality","OpenWater","HUC 10","11","Temp + Precip","High","Temp + Precip (High)",0.00129751869987505,0.00104597697403574,0.00154906042571435,0.00172786883989112,0.00155393197850777,0.00190180570127447,-24.9064124591303
"80","ERMQ PAH","sediment quality","TidalCreek","HUC 10","11","Temp + Precip","High","Temp + Precip (High)",0.00158597063768481,0.00133262910565639,0.00183931216971323,0.00203267578077401,0.00186017331968664,0.00220517824186138,-21.9762122082794
"81","ERMQ PAH","sediment quality","AllHabitats","HUC 10","11","Temp + Precip","High","Temp + Precip (High)",0.00144100332372266,0.001210063734692,0.00167194291275332,0.00187937597491553,0.00173921313465709,0.00201953881517396,-23.3254365834154
"82","ERMQ PAH","sediment quality","OpenWater","HUC 10","12","Pop + Temp","High","Pop + Temp (High)",0.00258688597935755,0.00224827325890347,0.00292549869981162,0.00172786883989112,0.00155393197850777,0.00190180570127447,49.7154135565381
"83","ERMQ PAH","sediment quality","TidalCreek","HUC 10","12","Pop + Temp","High","Pop + Temp (High)",0.00282073681930163,0.00248896713643915,0.00315250650216411,0.00203267578077401,0.00186017331968664,0.00220517824186138,38.7696378331198
"84","ERMQ PAH","sediment quality","AllHabitats","HUC 10","12","Pop + Temp","High","Pop + Temp (High)",0.00270331624852244,0.00238393955172563,0.00302269294531925,0.00187937597491553,0.00173921313465709,0.00201953881517396,43.8411624179641
"85","ERMQ PAH","sediment quality","OpenWater","HUC 10","13","Pop + Precip","High","Pop + Precip (High)",0.00292960911816979,0.00264675247278019,0.0032124657635594,0.00172786883989112,0.00155393197850777,0.00190180570127447,69.5504340685028
"86","ERMQ PAH","sediment quality","TidalCreek","HUC 10","13","Pop + Precip","High","Pop + Precip (High)",0.00317002908579874,0.00289450762131723,0.00344555055028025,0.00203267578077401,0.00186017331968664,0.00220517824186138,55.9535030516107
"87","ERMQ PAH","sediment quality","AllHabitats","HUC 10","13","Pop + Precip","High","Pop + Precip (High)",0.00304930370109178,0.00278929346957009,0.00330931393261347,0.00187937597491553,0.00173921313465709,0.00201953881517396,62.2508610193784
"88","ERMQ PAH","sediment quality","OpenWater","HUC 10","14","Pop + Temp + Precip","High","Pop + Temp + Precip (High)",0.00255159288407516,0.0022194603728682,0.00288372539528211,0.00172786883989112,0.00155393197850777,0.00190180570127447,47.6728340234405
"89","ERMQ PAH","sediment quality","TidalCreek","HUC 10","14","Pop + Temp + Precip","High","Pop + Temp + Precip (High)",0.00278003831421238,0.00245209279553812,0.00310798383288664,0.00203267578077401,0.00186017331968664,0.00220517824186138,36.7674245202935
"90","ERMQ PAH","sediment quality","AllHabitats","HUC 10","14","Pop + Temp + Precip","High","Pop + Temp + Precip (High)",0.00266533711112887,0.00235142844969176,0.00297924577256598,0.00187937597491553,0.00173921313465709,0.00201953881517396,41.8203247622484
"91","ERMQ PCB","sediment quality","OpenWater","HUC 10","0","Baseline","NA","Baseline (NA)",0.00235937882594724,0.00216650800708069,0.00255224964481379,0.00235937882594724,0.00216650800708069,0.00255224964481379,0
"92","ERMQ PCB","sediment quality","TidalCreek","HUC 10","0","Baseline","NA","Baseline (NA)",0.00273518396769861,0.00253918078219277,0.00293118715320446,0.00273518396769861,0.00253918078219277,0.00293118715320446,0
"93","ERMQ PCB","sediment quality","AllHabitats","HUC 10","0","Baseline","NA","Baseline (NA)",0.00254614940563818,0.00235632447872424,0.00273597433255212,0.00254614940563818,0.00235632447872424,0.00273597433255212,0
"94","ERMQ PCB","sediment quality","OpenWater","HUC 10","1","Pop","Low","Pop (Low)",0.00279752118365464,0.00250139883037434,0.00309364353693494,0.00235937882594724,0.00216650800708069,0.00255224964481379,18.5702420013665
"95","ERMQ PCB","sediment quality","TidalCreek","HUC 10","1","Pop","Low","Pop (Low)",0.00315074740289588,0.00286546322457218,0.00343603158121957,0.00273518396769861,0.00253918078219277,0.00293118715320446,15.1932535472896
"96","ERMQ PCB","sediment quality","AllHabitats","HUC 10","1","Pop","Low","Pop (Low)",0.00297354218352226,0.0026859479751932,0.00326113639185132,0.00254614940563818,0.00235632447872424,0.00273597433255212,16.7858483456493
"97","ERMQ PCB","sediment quality","OpenWater","HUC 10","2","Temp","Low","Temp (Low)",0.00139926425329712,0.00110653001240571,0.00169199849418854,0.00235937882594724,0.00216650800708069,0.00255224964481379,-40.6935317928291
"98","ERMQ PCB","sediment quality","TidalCreek","HUC 10","2","Temp","Low","Temp (Low)",0.00173949297649866,0.00144218180756808,0.00203680414542925,0.00273518396769861,0.00253918078219277,0.00293118715320446,-36.4030720770026
"99","ERMQ PCB","sediment quality","AllHabitats","HUC 10","2","Temp","Low","Temp (Low)",0.00156879215907274,0.00127688965311286,0.00186069466503261,0.00254614940563818,0.00235632447872424,0.00273597433255212,-38.3856989853459
"100","ERMQ PCB","sediment quality","OpenWater","HUC 10","3","Precip","Low","Precip (Low)",0.0024097901323782,0.00221724847381877,0.00260233179093762,0.00235937882594724,0.00216650800708069,0.00255224964481379,2.13663468861203
"101","ERMQ PCB","sediment quality","TidalCreek","HUC 10","3","Precip","Low","Precip (Low)",0.00278277265642256,0.0025864636700225,0.00297908164282261,0.00273518396769861,0.00253918078219277,0.00293118715320446,1.73987158765001
"102","ERMQ PCB","sediment quality","AllHabitats","HUC 10","3","Precip","Low","Precip (Low)",0.00259559397124833,0.00240585305138928,0.00278533489110738,0.00254614940563818,0.00235632447872424,0.00273597433255212,1.94193496660714
"103","ERMQ PCB","sediment quality","OpenWater","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.0014125038143514,0.00112698094995596,0.00169802667874684,0.00235937882594724,0.00216650800708069,0.00255224964481379,-40.132385744188
"104","ERMQ PCB","sediment quality","TidalCreek","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.00174597419873031,0.00145308803658346,0.00203886036087717,0.00273518396769861,0.00253918078219277,0.00293118715320446,-36.1661146252118
"105","ERMQ PCB","sediment quality","AllHabitats","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.00157867338406595,0.00129268393474055,0.00186466283339136,0.00254614940563818,0.00235632447872424,0.00273597433255212,-37.9976139432295
"106","ERMQ PCB","sediment quality","OpenWater","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.00195339298639687,0.00159116683295877,0.00231561913983497,0.00235937882594724,0.00216650800708069,0.00255224964481379,-17.2073189385931
"107","ERMQ PCB","sediment quality","TidalCreek","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.00226710706597265,0.00191074496397333,0.00262346916797198,0.00273518396769861,0.00253918078219277,0.00293118715320446,-17.1131780258203
"108","ERMQ PCB","sediment quality","AllHabitats","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.0021097797171089,0.0017530804457876,0.00246647898843021,0.00254614940563818,0.00235632447872424,0.00273597433255212,-17.1384164481073
"109","ERMQ PCB","sediment quality","OpenWater","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.00296391886547794,0.00266677294462168,0.0032610647863342,0.00235937882594724,0.00216650800708069,0.00255224964481379,25.622847542848
"110","ERMQ PCB","sediment quality","TidalCreek","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.00331038674589655,0.0030232394161732,0.00359753407561989,0.00273518396769861,0.00253918078219277,0.00293118715320446,21.0297656388324
"111","ERMQ PCB","sediment quality","AllHabitats","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.0031365815292845,0.00284754583907921,0.00342561721948978,0.00254614940563818,0.00235632447872424,0.00273597433255212,23.1892175038457
"112","ERMQ PCB","sediment quality","OpenWater","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.00196663254745114,0.00160955556771222,0.00232370952719007,0.00235937882594724,0.00216650800708069,0.00255224964481379,-16.646172889952
"113","ERMQ PCB","sediment quality","TidalCreek","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.0022735882882043,0.00192024586329012,0.00262693071311849,0.00273518396769861,0.00253918078219277,0.00293118715320446,-16.8762205740295
"114","ERMQ PCB","sediment quality","AllHabitats","HUC 10","7","Pop + Temp + Precip","Low","Pop + Temp + Precip (Low)",0.00211966094210212,0.00176712019940672,0.00247220168479752,0.00254614940563818,0.00235632447872424,0.00273597433255212,-16.7503314059909
"115","ERMQ PCB","sediment quality","OpenWater","HUC 10","8","Pop","High","Pop (High)",0.00301064761946224,0.00264679333131372,0.00337450190761075,0.00235937882594724,0.00216650800708069,0.00255224964481379,27.6034007914573
"116","ERMQ PCB","sediment quality","TidalCreek","HUC 10","8","Pop","High","Pop (High)",0.00335367589884741,0.00300591801222328,0.00370143378547155,0.00273518396769861,0.00253918078219277,0.00293118715320446,22.6124435669751
"117","ERMQ PCB","sediment quality","AllHabitats","HUC 10","8","Pop","High","Pop (High)",0.00318161432122847,0.00282831589793887,0.00353491274451808,0.00254614940563818,0.00235632447872424,0.00273597433255212,24.957880090741
"118","ERMQ PCB","sediment quality","OpenWater","HUC 10","9","Temp","High","Temp (High)",0.00117712525401876,0.000836931443384607,0.00151731906465291,0.00235937882594724,0.00216650800708069,0.00255224964481379,-50.1086794086079
"119","ERMQ PCB","sediment quality","TidalCreek","HUC 10","9","Temp","High","Temp (High)",0.0015069560457294,0.00116251202779256,0.00185140006366623,0.00273518396769861,0.00253918078219277,0.00293118715320446,-44.9047645962421
"120","ERMQ PCB","sediment quality","AllHabitats","HUC 10","9","Temp","High","Temp (High)",0.00134148624685869,0.00100188011095829,0.0016810923827591,0.00254614940563818,0.00235632447872424,0.00273597433255212,-47.3131370889661
"121","ERMQ PCB","sediment quality","OpenWater","HUC 10","10","Precip","High","Precip (High)",0.00256639971527071,0.00236799990829485,0.00276479952224658,0.00235937882594724,0.00216650800708069,0.00255224964481379,8.7743810805947
