FISHNET_SIZE,StationCode,RT_RO_Other,Date,StationDepth_m,CHANNEL_WIDTH_log,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,TOC_sediment,SiltClay,Entero_DHEC,Entero_LOG,FecalColiform_DHEC,Fecal_LOG,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_ABUNDANCE_area,trawl_SIMPSON_INDEX,benth_SP_RICH,benth_ABUNDANCE,benth_ABUNDANCE_area,benth_SIMPSON_INDEX,BIBI,AMBI,MAMBI,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND,PRCP_1,PRCP_2,PRCP_3,PRCP_4,PRCP_5,PRCP_6,PRCP_7,DAYS_SINCE_RAIN,TAVG_1,TAVG_2,TAVG_3,TAVG_4,TAVG_5,TAVG_6,TAVG_7,DAYMET_10dPRCP_cm,DAYMET_14dPRCP_cm,DAYMET_30dPRCP_cm,DAYMET_45dPRCP_cm,DAYMET_60dPRCP_cm,DAYMET_90dPRCP_cm,DAYMET_10dTAVG_degC,DAYMET_14dTAVG_degC,DAYMET_30dTAVG_degC,DAYMET_45dTAVG_degC,DAYMET_60dTAVG_degC,DAYMET_90dTAVG_degC,DJF_TAVG_diff,DJF_PRCP_diff,MAM_TAVG_diff,MAM_PRCP_diff,JJA_TAVG_diff,JJA_PRCP_diff,ANN_TAVG_diff,ANN_PRCP_diff,preSON_TAVG_diff,preSON_PRCP_diff,preANN_TAVG_diff,preANN_PRCP_diff,PDSI,PHDI,ZNDX,PMDI,SP01,SP02,SP03,SP06,SP09,SP12,SP24,AMO,AO,NAO,ONI,IMPERV_PRCT,WATER_prct,DEVOPEN_prct,DEVLOW_prct,DEVMED_prct,DEVHIGH_prct,BARREN_prct,DECFOREST_prct,EVEFOREST_prct,MIXFOREST_prct,SCRUBSHR_prct,HERBACEOUS_prct,PASTURE_prct,CROPS_prct,WOODYWET_prct,EMERGWET_prct,DEVALLCAT_prct,DEVHIGHCAT_prct,DEVLOWCAT_prct,AGRCAT_prct,FORCAT_prct,MARCAT_prct,WATCAT_prct,GROUP_A_prct,GROUP_B_prct,GROUP_C_prct,GROUP_D_prct,GROUP_AD_prct,GROUP_BD_prct,GROUP_CD_prct,POORLY_DRAINED_prct,WELL_DRAINED_prct,POPULATION_2010,census2010_personsPERha
25,RT10116,TidalCreek,8/4/2010,2.7,5.63,5.87,27.46,30.97,7.91,3.86,94.46,15,1.204119983,10,1.041392685,201.27,1013.01,2.55,0.64,0.08,0.01,0.11,0.03,0.01,0.06,21,80,0.057971014,0.84,21,165,1875,0.8,3,3.14,0.43,13,7.88,56,33.94,0,0,0.34,0.35,0.35,0.38,0.51,2,84.5,82.5,81,82.5,83.5,83.5,83,3.7,4.6,13.1,20.6,20.7,26.4,28.88,29.02,28.66,28.18,28.27,26.94,-1.74,23.75,0.49,-1.88,1.3,21.7,-0.19,16.65,0.23,-17.36,0.04,12.62,-1.42,-1.42,0.43,-1.13,0.91,0.6,0.19,-0.3,1,0.85,0.7,0.52,-0.11,-1.22,-1.38,24.78,31.48,34.73451327,40.66371681,10.11061947,2.411504425,1.10619469,0.066371681,8.318584071,0.044247788,0.796460177,0.199115044,0.132743363,0,1.238938053,23.32,87.92035398,12.52212389,75.39823009,1.238938053,10.79646018,23.32,31.48,26.98,32.31,0,0,32.94,0,7.75,40.69,59.29,12839.3,5.13
25,RT10129,TidalCreek,8/3/2010,2.7,4.39,6.35,18.01,30.66,7.3,6.58,91.38,0,0,110,2.045322979,185.25,238.68,4.85,0.89,2.34,0.01,0.1,0.01,0.02,0.05,9,52,0.037681159,0.42,9,165,1875,0.56,1.5,,,0,0,8,4.85,0,0.01,0.1,0.1,0.1,2.48,2.48,1,82,82,81.5,81.5,82,82,81.5,10.2,11.2,20.2,27.6,28.4,44.9,28.68,28.82,28.33,28,28.02,26.54,-2.5,15.52,-0.29,-3.36,0.7,-23.7,-0.96,-30.05,-0.93,-12.37,-0.92,-14.82,-1.86,-1.86,-1.39,-1.86,-0.12,-0.1,0.23,-0.63,0.29,0.22,0.12,0.52,-0.11,-1.22,-1.38,2.1,24.36,9.557522124,4.247787611,0.530973451,0,0.353982301,2.477876106,28.49557522,0,2.654867257,1.238938053,0,0,49.38053097,69.99,14.33628319,0.530973451,13.80530973,0.353982301,84.24778761,69.99,24.36,21.98,0,0,28.42,18.2,31.38,0,78,21.98,2.5,0.001
25,RT13059,TidalCreek,7/16/2013,2.1,3.78,3.97,0.74,27.92,6.16,4.78,89.24,65.66,1.823865309,130,2.117271296,183.28,158.89,2.09,8.05,0,0.17,0.09,0.01,0.01,0.05,6,25,0.018115942,0.54,9,93,1056.818182,0.67,3,3.6,0.31,1,1.08,0,0,0.37,1.68,3.33,3.59,4.32,4.32,4.32,1,82,82,81.5,81,80,81,80.5,7.8,13.1,26.1,42.5,47.1,58.2,26.93,26.89,26.72,26.63,25.82,23.71,2.22,7.08,-1.22,-1.36,-0.25,24.23,0.35,15.6,-0.57,-15.61,0.92,-19.6,3.76,3.76,4.37,3.76,1.84,2.25,2.04,2.59,1.74,1.46,0.68,0.19,-0.01,0.67,-0.38,0.5,10.42,7.494977592,0.571781796,0.046360686,0,0.278164117,2.132591562,33.39514758,9.28759079,4.713336424,2.750734044,1.251738526,0.973574409,37.0112811,24.87,8.113120074,0.046360686,8.066759388,2.503477051,90.54242003,24.87,10.42,22.52,1.36,3.19,25.46,1.08,15.8,30.56,76.09,23.88,578,0.23
25,RT00549,TidalCreek,7/11/2000,1,3.36,4.92,16.27,29.93,7.28,3.26,74.29,,,50,1.707570176,230.16,547.89,6.93,2.74,,0.05,0.11,0.02,0.03,0.05,15,111,0.080434783,0.64,14,96,1090.909091,0.82,3,3.42,0.37,0,0,19,19.79,0.29,0.29,0.29,0.29,0.29,0.29,0.54,6,87.5,85.5,84.5,83.5,83,84,84,2.2,9.8,12.5,15,15,17.7,27.6,27.38,27.51,26.42,26.07,23.81,-0.03,-3.02,0.69,-9.2,-0.17,0.79,-0.54,-12.86,-0.14,16.35,0.14,-11.68,-2.15,-2.15,-1.23,-2.15,-0.17,-0.27,-1.14,-1.34,-1.01,-0.5,-0.93,0.07,-0.64,-1.03,-0.55,10.66,13.33,23.62926498,12.71430996,6.705143439,1.086402988,2.223731115,0.729927007,31.81123748,0.662026821,2.410456629,1.578679341,4.19283653,0.746902054,11.37328128,27.76,44.13512137,7.791546427,36.34357494,7.1634697,52.75844509,27.76,13.33,9.75,4.3,7.13,12.08,0,5.26,61.45,85.92,14.05,4889.2,1.95
25,RT042070,TidalCreek,7/8/2004,2.4,3.87,5.54,2.05,29.98,7.04,4.88,79.97,,,30,1.491361694,241.16,346.68,0,0.76,0,0.01,0.13,0.01,0,0.05,1,7,0.005072464,0,7,199,2261.363636,0.63,2.5,4.01,0.24,0,0,67,33.67,0,0,0,0,0,0.01,0.06,5,84.5,85.5,85.5,85.5,85,84.5,84,5.8,6.9,10.8,11.1,11.6,23.2,27.33,27.09,26.93,26.87,26.08,23.95,-1.81,-4.94,0.89,-5.42,-0.01,-2.71,0.04,-29.9,0.34,-8.4,-0.14,0.02,-1.96,-1.96,-1.66,-1.96,-0.69,-0.05,-0.3,-0.68,-1.18,-1.13,0.83,0.22,-0.2,1.13,0.47,8.84,22.84,13.23392358,8.760484623,5.49860205,1.863932898,0.279589935,0.37278658,32.21497359,0.031065548,1.211556384,1.335818577,0.590245418,0.403852128,33.98570985,44.97,29.35694315,7.362534949,21.9944082,1.273687481,69.74215595,44.97,22.84,2.09,2.56,19.21,16.88,0,11.36,47.87,95.32,4.65,265.5,0.1
25,RO06308,OpenWater,7/19/2006,13.4,6.23,4.29,18.87,29.98,7.62,5.17,82.06,,,170,2.23299611,205.08,1180.44,1.78,0,0,0,0.1,0.03,0.009894444,0.05,18,210,0.076086957,0.77,6,162,1840.909091,0.57,1.5,3.76,0.24,0,0,77,47.53,0,0,0,0,0.11,0.11,0.11,4,84,83.5,83.5,84.5,84.5,84.5,84,0.5,0.5,6.9,14.1,20.7,31.7,27.98,26.96,27.03,26.22,25.92,23.97,0.47,-0.76,0.34,-8.85,0.16,11.1,0.43,-4.37,0.98,-6.44,0.05,-12.31,-1.8,-1.8,-2.81,-1.8,-2.93,-0.64,-1,-1.38,-0.77,-0.89,-0.41,0.37,0.1,0.9,0.12,7.71,19.45,9.220110144,5.453899449,4.583407355,2.575945994,4.903179961,4.654467934,40.6999467,0.302007461,3.499733523,2.664771718,1.136969266,0.159886303,20.00355303,24.26,21.83336294,7.159353349,14.67400959,6.20003553,72.96144964,24.26,19.45,44.78,1.89,1.32,6.31,17.15,2.23,26.29,53.3,46.67,756.1,0.3
25,RO12316,OpenWater,7/24/2012,1.5,8.57,5.42,28.77,29.91,7.79,4.17,96.9,30.75,1.50174373,26,1.431363764,198.85,781.14,1.62,0.27,0,0.005886508,0.1,0.02,0.009001955,0.05,16,28,0.010144928,0.87,17,151,1715.909091,0.84,3.5,2.95,0.41,3,1.99,37,24.5,0,0,0,0,0.55,0.55,0.55,4,85,85,84.5,84.5,84.5,84,84,0.6,9.1,15.3,19.8,30.8,39.3,28.28,28.13,28.19,27.07,26.39,25.51,2.24,-15.78,2.17,0.65,-0.4,7.63,0.79,-17.88,-0.3,-13.62,0.78,-35.56,0.71,-3.32,-0.48,-2.23,-0.19,0.05,0.86,0.41,-0.36,-0.69,-1.81,0.37,0.16,-1.32,0.26,51.27,56.31,15.38654618,21.38554217,35.59236948,21.15963855,1.5562249,0.62751004,1.129518072,0.009054325,0.225903614,0.225903614,0.200803213,0,2.359437751,3.85,93.52409639,56.75200803,36.77208835,1.757028112,4.77813063,3.85,56.31,14.41,58.89,0,0,3.4,0,23.28,26.68,73.3,19580.1,7.83
25,RT06001,TidalCreek,7/11/2006,0.9,3.21,6.21,15.82,29.57,7.48,7.35,63.98,,,96,1.986771734,213.96,57.18,0,0,0,0,0.12,0.005058024,0,0.04,10,91,0.065942029,0.75,9,150,1704.545455,0.62,3,3.65,0.27,2,1.33,123,82,0,0,0,0,0,2.1,2.1,5,78.5,78,75.5,75,74.5,75.5,76,12.6,13.3,18.9,25.3,29.8,34.9,25,25.41,25.23,24.89,24.2,22.76,-0.16,-12.99,-0.09,-2.18,-0.2,-16.69,0.15,-26.4,0.21,-25.51,-0.42,-70.94,-1.8,-1.8,-2.81,-1.8,-2.93,-0.64,-1,-1.38,-0.77,-0.89,-0.41,0.37,0.1,0.9,0.12,0,15.65,0,0,0,0,0.406504065,0,21.54471545,0,0,2.845528455,0,0,73.98373984,81.89,0,0,0,0.406504065,98.37398374,81.89,15.65,3.95,18.89,0,5.76,0,22.28,49.09,77.13,22.84,0,0
25,RT07065,TidalCreek,8/1/2007,2.1,3.36,4.67,13.18,31.03,7.09,4.97,83.33,0,0,32,1.51851394,204.26,94.63,0.67,1.1,0,0.02,0.11,0.01,0.003755555,0.04,13,85,0.061594203,0.47,6,20,227.2727273,0.77,2,3.25,0.25,0,0,11,55,0,0,0.88,0.88,0.88,0.88,0.88,2,80.5,80.5,80.5,80.5,80,80,80,3.6,6.1,13.7,15.9,19.1,25.8,25.8,26.21,26.63,26.48,26.11,24.35,0.71,-11.54,-0.3,-19.31,0.31,-7.71,0.73,-50.58,-0.34,6.71,0.15,-26.4,-2.19,-2.19,-2.89,-2.19,-0.87,-1.46,-1.08,-1.77,-1.58,-0.4,-0.39,0.05,-0.03,-0.14,-0.83,4.64,13.18,48.5316847,9.119010819,0.927357032,0.110839042,0,1.081916538,4.018547141,0,0.927357032,0,0.154559505,0,34.46676971,80.35,58.68889159,1.038196074,57.65069552,0.154559505,40.64914992,80.35,13.18,4.28,0,0,58.8,3.98,32.92,0,95.7,4.28,1.8,0.00072
25,RO08348,OpenWater,7/22/2008,7.6,7.57,6.45,13.31,23.82,7.54,4.93,93.44,,,84,1.929418926,210.37,83.05,0,0,0,0,0.11,0.005463744,0,0.04,6,11,0.003985507,0.71,12,1259,14306.81818,0.19,3,4.31,0.19,1,0.08,20,1.59,0,0,0.14,0.57,0.57,0.57,0.62,2,85,87.5,84.5,83,82.5,82.5,82,1.6,9.4,14.8,19,24.4,34.3,26.95,27,26.84,26.72,26,24.17,1.73,-3.3,-0.94,-3.72,-0.05,-5.04,-0.38,-1.27,1.42,-15.54,0.73,-50.58,0.05,-2.21,0.14,-2.09,0.43,-0.31,-0.38,-0.19,-0.47,-0.97,-0.84,0.2,-0.48,-1.27,-0.35,0.36,43.33,6.539351852,0.549768519,0.020875252,0,0.144675926,0.520833333,47.82986111,0,0.954861111,0.665509259,0.05787037,0,42.59259259,22.11,7.109995622,0.020875252,7.08912037,0.202546296,92.62152778,22.11,43.33,37.34,0,0,2.18,19.31,37.22,3.92,62.63,37.34,285.9,0.11
25,RT022152,TidalCreek,8/6/2002,4.6,4.75,2.9,27.53,29.36,7.22,4.27,84.99,,,7,0.903089987,182.69,290.35,0.96,2.55,,0.05,0.09,0.00931327,0.005377222,0.04,6,83,0.060144928,0.32,12,85,965.9090909,0.73,2.5,1.72,0.43,0,0,5,5.88,0,0,0.01,0.12,0.12,0.21,0.21,2,85,84,83.5,82.5,82.5,82,82,1.7,1.7,12.1,17,26,37.1,28.9,28.82,28.91,28.42,27.7,26.56,1.11,-12.74,1,-7.3,-0.38,0.43,0.27,-1.29,-0.4,-14.22,-0.16,-41.4,0.12,-4.28,0.36,-4.09,0.67,-0.19,0.05,-0.63,-1.25,-2.05,-2.39,0.1,-0.22,0.38,0.86,0.55,12.09,0,0.243902439,0.081300813,0.243902439,80.32520325,0.081300813,1.138211382,0.029151569,1.62601626,0.975609756,0.029151569,0,14.87804878,75.61,0.569105691,0.325203252,0.243902439,80.35435482,18.75749013,75.61,12.09,0,0,0,6.03,0,5.81,88.14,99.98,0,6,0.0024
