BUFFER_SIZE,StationCode,RT_RO_Other,Date,StationDepth_m,CHANNEL_WIDTH_m,CHANNEL_WIDTH_log,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,TOC_sediment,SiltClay,Entero_DHEC,Entero_LOG,FecalColiform_DHEC,FecalColiform_LOG,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_13,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_ABUNDANCE_area,trawl_SIMPSON_INDEX,benth_SP_RICH,benth_ABUNDANCE,benth_ABUNDANCE_area,benth_SIMPSON_INDEX,BIBI,AMBI,MAMBI,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND,PRCP_1,PRCP_2,PRCP_3,PRCP_4,PRCP_5,PRCP_6,PRCP_7,DAYS_SINCE_RAIN,TAVG_1,TAVG_2,TAVG_3,TAVG_4,TAVG_5,TAVG_6,TAVG_7,DAYMET_10dPRCP_cm,DAYMET_14dPRCP_cm,DAYMET_30dPRCP_cm,DAYMET_45dPRCP_cm,DAYMET_60dPRCP_cm,DAYMET_90dPRCP_cm,DAYMET_10dTAVG_degC,DAYMET_14dTAVG_degC,DAYMET_30dTAVG_degC,DAYMET_45dTAVG_degC,DAYMET_60dTAVG_degC,DAYMET_90dTAVG_degC,DJF_TAVG_diff,DJF_PRCP_diff,MAM_TAVG_diff,MAM_PRCP_diff,JJA_TAVG_diff,JJA_PRCP_diff,ANN_TAVG_diff,ANN_PRCP_diff,preSON_TAVG_diff,preSON_PRCP_diff,preANN_TAVG_diff,preANN_PRCP_diff,PDSI,PHDI,ZNDX,PMDI,SP01,SP02,SP03,SP06,SP09,SP12,SP24,AMO,AO,NAO,ONI,UPLAND_IMPERV_PRCT,BARREN_LAND_prct,CULTIVATED_CROPS_prct,DEC_FOREST_prct,DEVELOPED_HIGH_prct,DEVELOPED_MED_prct,DEVELOPED_LOW_prct,DEVELOPED_OPEN_prct,EMERGE_HERB_WET_prct,EVE_FOREST_prct,HAY_PASTURE_prct,HERBACEOUS_prct,MIX_FOREST_prct,WATER_prct,SHRUB_SCRUB_prct,WOODY_WET_prct,DEVALLCAT_prct,DEVHIGHCAT_prct,DEVLOWCAT_prct,AGRCAT_prct,FORCAT_prct,MARCAT_prct,WATCAT_prct
1,RT10116,TidalCreek,8/4/2010,2.7,281,5.63,5.87,27.46,30.97,7.91,3.86,94.46,15,1.204119983,10,1.041392685,201.27,1013.01,2.55,0.64,0.08,0.01,0.11,0.04,0.03,0.01,0.06,21,80,0.057971014,0.84,21,165,1875,0.8,3,3.14,0.43,13,7.88,56,33.94,0,0,0.34,0.35,0.35,0.38,0.51,2,84.5,82.5,81,82.5,83.5,83.5,83,3.7,4.6,13.1,20.6,20.7,26.4,28.88,29.02,28.66,28.18,28.27,26.94,-1.74,23.75,0.49,-1.88,1.3,21.7,-0.19,16.65,0.23,-17.36,0.04,12.62,-1.42,-1.42,0.43,-1.13,0.91,0.6,0.19,-0.3,1,0.85,0.7,0.52,-0.11,-1.22,-1.38,22.75,3.88042541,0,0,4.685254383,11.09514228,27.50790457,46.56510492,17.59,3.13308422,0.488646163,0,0,47.62,1.063524001,1.552170164,89.85340615,15.78039667,74.07300949,4.369071572,5.748778385,17.59,47.62
1,RT10129,TidalCreek,8/3/2010,2.7,81,4.39,6.35,18.01,30.66,7.3,6.58,91.38,0,0,110,2.045322979,185.25,238.68,4.85,0.89,2.34,0.01,0.1,0.02,0.01,0.02,0.05,9,52,0.037681159,0.42,9,165,1875,0.56,1.5,,,0,0,8,4.85,0,0.01,0.1,0.1,0.1,2.48,2.48,1,82,82,81.5,81.5,82,82,81.5,10.2,11.2,20.2,27.6,28.4,44.9,28.68,28.82,28.33,28,28.02,26.54,-2.5,15.52,-0.29,-3.36,0.7,-23.7,-0.96,-30.05,-0.93,-12.37,-0.92,-14.82,-1.86,-1.86,-1.39,-1.86,-0.12,-0.1,0.23,-0.63,0.29,0.22,0.12,0.52,-0.11,-1.22,-1.38,14.47,0,0,0,0,4.4921875,32.6171875,19.3359375,84.16,0,0,0,0,10.72,0,43.359375,56.4453125,4.4921875,51.953125,0,43.359375,84.16,10.72
1,RT13059,TidalCreek,7/16/2013,2.1,44,3.78,3.97,0.74,27.92,6.16,4.78,89.24,65.66,1.823865309,130,2.117271296,183.28,158.89,2.09,8.05,0,0.17,0.09,0.006898819,0.01,0.01,0.05,6,25,0.018115942,0.54,9,93,1056.818182,0.67,3,3.6,0.31,1,1.08,0,0,0.37,1.68,3.33,3.59,4.32,4.32,4.32,1,82,82,81.5,81,80,81,80.5,7.8,13.1,26.1,42.5,47.1,58.2,26.93,26.89,26.72,26.63,25.82,23.71,2.22,7.08,-1.22,-1.36,-0.25,24.23,0.35,15.6,-0.57,-15.61,0.92,-19.6,3.76,3.76,4.37,3.76,1.84,2.25,2.04,2.59,1.74,1.46,0.68,0.19,-0.01,0.67,-0.38,1.22,0.215827338,1.007194245,0.35971223,0,0,2.302158273,11.22302158,60.46,37.84172662,0.215827338,1.151079137,6.90647482,25.64,7.985611511,30.9352518,13.52517986,0,13.52517986,1.438848921,85.17985612,60.46,25.64
1,RT00549,TidalCreek,7/11/2000,1,29,3.36,4.92,16.27,29.93,7.28,3.26,74.29,,,50,1.707570176,230.16,547.89,6.93,2.74,,0.05,0.11,0.02,0.02,0.03,0.05,15,111,0.080434783,0.64,14,96,1090.909091,0.82,3,3.42,0.37,0,0,19,19.79,0.29,0.29,0.29,0.29,0.29,0.29,0.54,6,87.5,85.5,84.5,83.5,83,84,84,2.2,9.8,12.5,15,15,17.7,27.6,27.38,27.51,26.42,26.07,23.81,-0.03,-3.02,0.69,-9.2,-0.17,0.79,-0.54,-12.86,-0.14,16.35,0.14,-11.68,-2.15,-2.15,-1.23,-2.15,-0.17,-0.27,-1.14,-1.34,-1.01,-0.5,-0.93,0.07,-0.64,-1.03,-0.55,17.75,0.218638972,4.044820989,0.191309101,2.049740366,9.128177098,28.1907625,13.55561629,23.73,26.64662476,5.684613282,0.218638972,0.396283137,3.09,1.284503963,8.390270566,52.92429626,11.17791746,41.74637879,9.948073244,37.1276305,23.73,3.09
1,RT042070,TidalCreek,7/8/2004,2.4,48,3.87,5.54,2.05,29.98,7.04,4.88,79.97,,,30,1.491361694,241.16,346.68,0,0.76,0,0.01,0.13,0.01,0.01,0,0.05,1,7,0.005072464,0,7,199,2261.363636,0.63,2.5,4.01,0.24,0,0,67,33.67,0,0,0,0,0,0.01,0.06,5,84.5,85.5,85.5,85.5,85,84.5,84,5.8,6.9,10.8,11.1,11.6,23.2,27.33,27.09,26.93,26.87,26.08,23.95,-1.81,-4.94,0.89,-5.42,-0.01,-2.71,0.04,-29.9,0.34,-8.4,-0.14,0.02,-1.96,-1.96,-1.66,-1.96,-0.69,-0.05,-0.3,-0.68,-1.18,-1.13,0.83,0.22,-0.2,1.13,0.47,0.2,0,0,0,0,0.369685767,0,0,72.15,7.578558226,0,1.109057301,0,22.44,0,90.94269871,0.369685767,0.369685767,0,0,99.63031423,72.15,22.44
1,RO06308,OpenWater,7/19/2006,13.4,511,6.23,4.29,18.87,29.98,7.62,5.17,82.06,,,170,2.23299611,205.08,1180.44,1.78,0,0,0,0.1,0.04,0.03,0.009894444,0.05,18,210,0.076086957,0.77,6,162,1840.909091,0.57,1.5,3.76,0.24,0,0,77,47.53,0,0,0,0,0.11,0.11,0.11,4,84,83.5,83.5,84.5,84.5,84.5,84,0.5,0.5,6.9,14.1,20.7,31.7,27.98,26.96,27.03,26.22,25.92,23.97,0.47,-0.76,0.34,-8.85,0.16,11.1,0.43,-4.37,0.98,-6.44,0.05,-12.31,-1.8,-1.8,-2.81,-1.8,-2.93,-0.64,-1,-1.38,-0.77,-0.89,-0.41,0.37,0.1,0.9,0.12,9.65,0.103662751,0,2.557014513,4.215618521,4.872149274,6.651693158,4.388389772,8.82,55.75328265,0.760193504,1.036627505,0,33.3,2.315134762,17.36351071,20.12785073,9.087767795,11.04008293,0.863856254,79.02557015,8.82,33.3
1,RO12316,OpenWater,7/24/2012,1.5,5321,8.57,5.42,28.77,29.91,7.79,4.17,96.9,30.75,1.50174373,26,1.431363764,198.85,781.14,1.62,0.27,0,0.005886508,0.1,0.04,0.02,0.009001955,0.05,16,28,0.010144928,0.87,17,151,1715.909091,0.84,3.5,2.95,0.41,3,1.99,37,24.5,0,0,0,0,0.55,0.55,0.55,4,85,85,84.5,84.5,84.5,84,84,0.6,9.1,15.3,19.8,30.8,39.3,28.28,28.13,28.19,27.07,26.39,25.51,2.24,-15.78,2.17,0.65,-0.4,7.63,0.79,-17.88,-0.3,-13.62,0.78,-35.56,0.71,-3.32,-0.48,-2.23,-0.19,0.05,0.86,0.41,-0.36,-0.69,-1.81,0.37,0.16,-1.32,0.26,53.5,1.215559157,0,0,12.80388979,48.17666126,29.25445705,7.982171799,0,0.56726094,0,0,0,75.32,0,0,98.2171799,60.98055105,37.23662885,1.215559157,0.56726094,0,75.32
1,RT06001,TidalCreek,7/11/2006,0.9,25,3.21,6.21,15.82,29.57,7.48,7.35,63.98,,,96,1.986771734,213.96,57.18,0,0,0,0,0.12,0.001921315,0.005058024,0,0.04,10,91,0.065942029,0.75,9,150,1704.545455,0.62,3,3.65,0.27,2,1.33,123,82,0,0,0,0,0,2.1,2.1,5,78.5,78,75.5,75,74.5,75.5,76,12.6,13.3,18.9,25.3,29.8,34.9,25,25.41,25.23,24.89,24.2,22.76,-0.16,-12.99,-0.09,-2.18,-0.2,-16.69,0.15,-26.4,0.21,-25.51,-0.42,-70.94,-1.8,-1.8,-2.81,-1.8,-2.93,-0.64,-1,-1.38,-0.77,-0.89,-0.41,0.37,0.1,0.9,0.12,0,0,0,0,0,0,0,0,95.48,0,0,0,0,4.52,0,0,0,0,0,0,0,95.48,4.52
1,RT07065,TidalCreek,8/1/2007,2.1,29,3.36,4.67,13.18,31.03,7.09,4.97,83.33,0,0,32,1.51851394,204.26,94.63,0.67,1.1,0,0.02,0.11,0.002377162,0.01,0.003755555,0.04,13,85,0.061594203,0.47,6,20,227.2727273,0.77,2,3.25,0.25,0,0,11,55,0,0,0.88,0.88,0.88,0.88,0.88,2,80.5,80.5,80.5,80.5,80,80,80,3.6,6.1,13.7,15.9,19.1,25.8,25.8,26.21,26.63,26.48,26.11,24.35,0.71,-11.54,-0.3,-19.31,0.31,-7.71,0.73,-50.58,-0.34,6.71,0.15,-26.4,-2.19,-2.19,-2.89,-2.19,-0.87,-1.46,-1.08,-1.77,-1.58,-0.4,-0.39,0.05,-0.03,-0.14,-0.83,3.49,0,0,0,0,0.413507926,5.72019297,28.04962095,70.8,25.29290145,0,0.758097864,0,14.69,4.066161268,35.69951757,34.18332185,0.413507926,33.76981392,0,65.81667815,70.8,14.69
1,RO08348,OpenWater,7/22/2008,7.6,1945,7.57,6.45,13.31,23.82,7.54,4.93,93.44,,,84,1.929418926,210.37,83.05,0,0,0,0,0.11,0.004406074,0.005463744,0,0.04,6,11,0.003985507,0.71,12,1259,14306.81818,0.19,3,4.31,0.19,1,0.08,20,1.59,0,0,0.14,0.57,0.57,0.57,0.62,2,85,87.5,84.5,83,82.5,82.5,82,1.6,9.4,14.8,19,24.4,34.3,26.95,27,26.84,26.72,26,24.17,1.73,-3.3,-0.94,-3.72,-0.05,-5.04,-0.38,-1.27,1.42,-15.54,0.73,-50.58,0.05,-2.21,0.14,-2.09,0.43,-0.31,-0.38,-0.19,-0.47,-0.97,-0.84,0.2,-0.48,-1.27,-0.35,0.37,0,0,0,0,0,0,15.17094017,12.43,33.54700855,0,0,0,82.89,1.068376068,50.21367521,15.17094017,0,15.17094017,0,84.82905983,12.43,82.89
1,RT022152,TidalCreek,8/6/2002,4.6,116,4.75,2.9,27.53,29.36,7.22,4.27,84.99,,,7,0.903089987,182.69,290.35,0.96,2.55,,0.05,0.09,0.01,0.00931327,0.005377222,0.04,6,83,0.060144928,0.32,12,85,965.9090909,0.73,2.5,1.72,0.43,0,0,5,5.88,0,0,0.01,0.12,0.12,0.21,0.21,2,85,84,83.5,82.5,82.5,82,82,1.7,1.7,12.1,17,26,37.1,28.9,28.82,28.91,28.42,27.7,26.56,1.11,-12.74,1,-7.3,-0.38,0.43,0.27,-1.29,-0.4,-14.22,-0.16,-41.4,0.12,-4.28,0.36,-4.09,0.67,-0.19,0.05,-0.63,-1.25,-2.05,-2.39,0.1,-0.22,0.38,0.86,0.09,89.28571429,0,0,0,0,0,3.571428571,87.51,0,0,0,0,12.21,0,10.71428571,3.571428571,0,3.571428571,89.28571429,10.71428571,87.51,12.21
1,RT042063,TidalCreek,6/29/2004,2.4,99,4.59,5.4,14.09,29.64,7.04,4.63,88.14,,,50,1.707570176,194.32,207.62,0.61,1.28,0,0.02,0.1,0.009732162,0.00714007,0.003411111,0.04,12,47,0.034057971,0.77,19,296,3363.636364,0.73,4.5,3.44,0.38,2,0.68,147,49.66,0,0.02,0.1,0.1,0.39,1.52,1.79,1,82,81.5,81,81,81,81,81,3.5,4.9,15.6,15.6,24,30.7,27.48,27.59,27.4,27.14,25.94,23.61,-1.51,-8.03,0.18,-8.83,-0.47,-6.26,-0.25,-27.26,0.75,-5.93,-0.16,-0.55,-1.57,-1.57,0.14,-1.43,0.64,0.23,0.04,-0.62,-0.67,-0.53,0.73,0.17,-0.23,-0.89,0.28,0.12,0.077419355,0,2.606451613,0,0,0,3.612903226,52.39,32.8,0.15483871,21.49677419,11.89677419,8.86,5.677419355,21.72903226,3.612903226,0,3.612903226,0.232258065,96.20645161,52.39,8.86
1,RO99322,OpenWater,7/7/1999,2.8,1897,7.54,6.52,22.98,28.02,7.83,0.95,23,,,80,1.908485019,79.98,1051.11,11.07,0.06,,0.001349241,0.04,0.04,0.03,0.06,0.04,13,35,0.012681159,0.82,20,151,1715.909091,0.66,3,3.31,0.36,6,3.97,0,0,0,0.04,0.04,0.04,0.04,0.04,0.18,1,81.5,81,81.5,81.5,81,80.5,80.5,5.6,5.9,6.1,6.1,11.4,15.7,25.88,25.73,24.97,24.58,23.8,22.18,2.24,3.89,-0.5,-1.62,-0.04,-25.74,0.14,-11.68,1.23,11.71,1.11,42.39,-1.62,-1.62,-0.66,-1.23,-0.32,0.1,-0.24,-0.8,-0.5,-0.7,1.19,0.19,-0.002,-0.9,-1.09,18.77,1.157643854,0,5.958461015,3.643173306,13.00646919,20.97378277,37.55532857,7.93,8.784473953,1.464078992,0,0.102145046,62.7,0.204290092,7.150153218,75.17875383,16.64964249,58.52911134,2.621722846,22.19952332,7.93,62.7
